0,0,0,0,0,0,3,30,75,78,52,39,33,20,19,61,132,215,290,268,105,9,0,0,0,0,0
0,0,0,0,0,0,0,9,38,56,67,89,85,50,37,94,172,243,303,266,97,7,0,0,0,0,0
0,0,0,0,0,0,0,1,8,23,63,123,123,68,42,99,180,234,255,187,54,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,29,75,83,44,25,69,145,191,175,90,17,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,16,21,11,8,30,76,103,76,25,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,23,31,17,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
