ID,X_in_mm,Y_in_mm
6,36.730896909705464,20.808788025108647
7,42.746624301579644,20.808788025108647
8,48.76235169345382,20.650479409533013
9,54.778079085328,20.967096640684282
17,27.232379975167287,29.357453266193012
18,33.089798751465835,29.199144650617377
19,38.94721752776438,29.199144650617377
20,44.96294491963856,29.199144650617377
21,51.13698092708837,29.199144650617377
22,56.99439970338692,29.199144650617377
29,20.90003535214184,44.39677174587847
30,27.074071359591652,44.39677174587847
31,32.9314901358902,44.23846313030283
32,38.94721752776438,44.23846313030283
33,45.27956215078983,44.39677174587847
34,50.97867231151274,44.08015451472719
35,57.15270831896255,44.08015451472719
36,61.743658170656005,49.14603021314756
42,21.216652583293108,59.43609022556392
43,27.074071359591652,59.119472994412654
44,33.089798751465835,59.27778160998829
45,39.105526143340015,59.119472994412654
46,44.96294491963856,59.27778160998829
47,50.97867231151274,59.119472994412654
48,56.99439970338692,59.119472994412654
49,62.21858401738291,62.76057115265228
54,14.884307960267659,74.31710008967374
55,20.90003535214184,74.15879147409811
56,27.074071359591652,74.00048285852247
57,33.089798751465835,74.47540870524938
58,39.105526143340015,74.31710008967374
59,44.96294491963856,74.31710008967374
60,50.97867231151274,74.47540870524938
61,56.99439970338692,74.31710008967374
67,15.042616575843294,89.67303580051046
68,21.058343967717473,89.67303580051046
69,26.915762744016018,89.51472718493483
70,32.9314901358902,89.35641856935919
71,38.94721752776438,89.35641856935919
72,44.96294491963856,89.19810995378356
73,50.97867231151274,89.19810995378356
74,56.67778247223565,89.19810995378356
79,9.026889183969114,104.55404566462028
80,15.042616575843294,104.55404566462028
81,20.90003535214184,104.39573704904464
82,26.915762744016018,104.55404566462028
83,33.089798751465835,104.39573704904464
84,38.94721752776438,104.237428433469
85,44.804636304062925,104.237428433469
86,50.97867231151274,104.237428433469
87,57.15270831896255,104.39573704904464
92,9.026889183969114,119.59336414430575
93,15.042616575843294,119.43505552873012
94,21.058343967717473,119.59336414430575
95,27.074071359591652,119.59336414430575
